Validation layer [Verbose] (General) 2022-10-25 17:37:02.0457882: loaderGetDeviceRegistryFiles: GUID for 29 is not SoftwareComponent skipping
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0463758: loaderGetDeviceRegistryFiles: GUID for 30 is not SoftwareComponent skipping
Validation layer [Warning] (General) 2022-10-25 17:37:02.0492790: loaderAddLayerProperties: E:\VulkanSDK\Bin\VkLayer_khronos_profiles.json invalid layer manifest file version 1.2.1.  May cause errors.
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0510789: Searching for ICD drivers named .\nvoglv64.dll
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0515068: Build ICD instance extension list
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0519601: Instance Extension: VK_KHR_device_group_creation (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0525595: Instance Extension: VK_KHR_display (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.23
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0530825: Instance Extension: VK_KHR_external_fence_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0536414: Instance Extension: VK_KHR_external_memory_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0542636: Instance Extension: VK_KHR_external_semaphore_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0549711: Instance Extension: VK_KHR_get_display_properties2 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0554254: Instance Extension: VK_KHR_get_physical_device_properties2 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.2
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0558613: Instance Extension: VK_KHR_get_surface_capabilities2 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0562859: Instance Extension: VK_KHR_surface (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.25
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0567173: Instance Extension: VK_KHR_surface_protected_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0571428: Instance Extension: VK_KHR_win32_surface (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.6
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0575711: Instance Extension: VK_EXT_debug_report (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.10
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0580170: Instance Extension: VK_EXT_debug_utils (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.2
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0585518: Instance Extension: VK_EXT_direct_mode_display (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0590731: Instance Extension: VK_EXT_swapchain_colorspace (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.4
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0595780: Instance Extension: VK_NV_external_memory_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0876290: Loading layer library E:\VulkanSDK\Bin\.\VkLayer_khronos_validation.dll
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0900586: Build ICD instance extension list
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0905828: Instance Extension: VK_KHR_device_group_creation (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0911624: Instance Extension: VK_KHR_display (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.23
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0917690: Instance Extension: VK_KHR_external_fence_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0924491: Instance Extension: VK_KHR_external_memory_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0930607: Instance Extension: VK_KHR_external_semaphore_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0936421: Instance Extension: VK_KHR_get_display_properties2 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0942051: Instance Extension: VK_KHR_get_physical_device_properties2 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.2
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0947625: Instance Extension: VK_KHR_get_surface_capabilities2 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
